YearID,Player,Position,Amateur Type,Team Rank,Rank in Organization,Highest Level Played,WAR
2007,Geovany Soto,Position Player,HS,18,17,MLB,13.8
2015,German Marquez,Pitcher,INTL,17,25,A,13.3
2008,Ian Desmond,Position Player,HS,9,14,AA,10.7
2009,Ian Desmond,Position Player,HS,21,19,AA,14.8
2013,Jake deGrom,Pitcher,4Yr,26,11,A+,26.2
2006,Jamie Shields,Pitcher,HS,10,12,AAA,20.3
2003,Jason Bay,Position Player,4Yr,20,12,AA,15.9
2004,Jayson Werth,Position Player,HS,8,17,MLB,16.6
2008,Jonathan Lucroy,Position Player,4Yr,21,16,Rk,22.4
2004,Jonathan Papelbon,Pitcher,4Yr,23,14,A-,10.2
2011,Jose Altuve,Position Player,INTL,26,28,A+,19.0
2013,Jose Ramirez,Position Player,INTL,24,23,A,21.0
2009,Josh Donaldson,Position Player,4Yr,3,13,A+,13.9
2010,Josh Donaldson,Position Player,4Yr,12,14,AA,22.6
2011,Josh Donaldson,Position Player,4Yr,28,12,MLB,30.5
2012,Josh Donaldson,Position Player,4Yr,26,20,MLB,35.6
2007,Josh Hamilton,Position Player,HS,12,30,AA,25.2
2004,Josh Johnson,Pitcher,HS,14,24,A,10.8
2005,Josh Johnson,Pitcher,HS,14,11,A+,16.4
2006,Josh Willingham,Position Player,4Yr,2,11,MLB,13.3
2007,Justin Masterson,Pitcher,4Yr,9,13,A-,12.2
2010,Kenley Jansen,Pitcher,INTL,24,14,AAA,10.9
2014,Ketel Marte,Position Player,INTL,25,20,A+,11.6
2011,Kevin Kiermaier,Position Player,JC,3,26,Rk,11.1
2013,Kevin Pillar,Position Player,4Yr,12,21,A+,10.3
2014,Kevin Pillar,Position Player,4Yr,15,20,MLB,11.9
2013,Khris Davis,Position Player,4Yr,22,16,AAA,11.5
2012,Kole Calhoun,Position Player,4Yr,18,20,A+,13.1
2013,Kole Calhoun,Position Player,4Yr,30,11,MLB,13.1
2014,Kyle Hendricks,Pitcher,4Yr,4,11,AAA,18.0
2010,Kyle Seager,Position Player,4Yr,11,30,A+,17.6
2015,Lance McCullers,Pitcher,HS,10,11,A+,10.7
2005,Luke Scott,Position Player,4Yr,22,17,AA,11.1
2006,Luke Scott,Position Player,4Yr,20,15,MLB,11.3
2001,Mark Ellis,Position Player,4Yr,11,17,AA,10.7
2003,Mark Hendrickson,Pitcher,4Yr,6,13,MLB,10.5
2003,Matt Cain,Pitcher,HS,11,11,Rk,11.8
2011,Matt Carpenter,Position Player,4Yr,24,11,AA,20.5
2012,Matt Carpenter,Position Player,4Yr,12,12,MLB,23.8
2002,Matt Holliday,Position Player,HS,24,11,A+,14.3
2003,Matt Holliday,Position Player,HS,25,16,AA,20.2
2015,Max Kepler,Position Player,INTL,2,12,A+,10.8
2014,Mike Clevinger,Pitcher,JC,30,17,A,10.8
2015,Mike Clevinger,Pitcher,JC,23,22,A+,11.5
2005,Mike Napoli,Position Player,HS,1,29,A+,10.0
2006,Mike Napoli,Position Player,HS,3,11,AA,14.3
2008,Mike Stanton,Position Player,HS,14,11,A-,14.7
2001,Morgan Ensberg,Position Player,4Yr,10,15,MLB,15.4
2010,Neil Walker,Position Player,HS,16,26,MLB,15.9
2003,Nick Swisher,Position Player,4Yr,22,11,A+,11.2
2011,Noah Syndergaard,Pitcher,HS,4,24,Rk,10.0
2012,Odubel Herrera,Position Player,INTL,2,27,A,10.4
2015,Odubel Herrera,Position Player,INTL,22,12,AA,10.9
2006,Pablo Sandoval,Position Player,INTL,18,15,A-,12.6
2010,Paul Goldschmidt,Position Player,4Yr,27,13,Rk,20.9
2011,Paul Goldschmidt,Position Player,4Yr,22,11,A+,25.8
2002,Rich Harden,Pitcher,JC,19,21,A-,10.2
2005,Ricky Nolasco,Pitcher,HS,10,19,AAA,11.9
2013,Robbie Ray,Pitcher,HS,16,18,A+,10.2
2015,Robbie Ray,Pitcher,HS,6,11,MLB,11.8
2004,Russell Martin,Position Player,JC,2,18,A,18.9
2009,Ryan Hanigan,Position Player,4Yr,14,16,MLB,16.5
2002,Ryan Howard,Position Player,4Yr,11,15,A-,11.6
2004,Scott Baker,Pitcher,4Yr,5,19,A,10.7
2005,Shane Victorino,Position Player,HS,20,19,MLB,16.4
2006,Shane Victorino,Position Player,HS,22,14,MLB,21.9
2001,Ted Lilly,Pitcher,JC,7,18,MLB,10.4
2014,Tommy Pham,Position Player,HS,7,23,AAA,15.6
2015,Tommy Pham,Position Player,HS,15,15,MLB,15.5
2001,Travis Hafner,Position Player,JC,13,12,A+,16.1
2002,Travis Hafner,Position Player,JC,8,16,AA,18.3
2013,Travis Shaw,Position Player,4Yr,6,23,AA,10.0
2015,Trevor Story,Position Player,HS,8,12,AA,17.9
2011,Tyler Flowers,Position Player,JC,27,17,MLB,11.0
2008,Will Venable,Position Player,4Yr,12,15,AA,11.5
2013,Yan Gomes,Position Player,4Yr,24,27,MLB,13.6
2005,Yovani Gallardo,Pitcher,HS,3,16,A,11.5
2004,Zach Duke,Pitcher,HS,11,15,A,12.6
